"words","type"
"gold","International News"
"coast","International News"
"zagreb","International News"
"bristol","International News"
"nantes","International News"
"bali","International News"
"venice","International News"
"riga","International News"
"stuttgart","International News"
"dusseldorf","International News"
"belfast","International News"
"brighton","International News"
"kingston","International News"
"kitchener","International News"
"leicester","International News"
"edinburgh","International News"
"cardiff","International News"
"montpellier","International News"
"canberra","International News"
"newcastle","International News"
"bratislava","International News"
"coventry","International News"
"wellington","International News"
"halifax","International News"
"christchurch","International News"
"stoke","International News"
"on","International News"
"trent","International News"
"victoria","International News"
"port","International News"
"moresby","International News"
"sarajevo","International News"
"reading","International News"
"windsor","International News"
"hull","International News"
"swansea","International News"
